neighbourhood,Stay classification,price
ARMADALE,Holiday,163.1
ARMADALE,short term,160.0
ARMADALE,Medium term,
ARMADALE,Long Term,
BASSENDEAN,Holiday,145.38
BASSENDEAN,short term,
BASSENDEAN,Medium term,
BASSENDEAN,Long Term,133.0
BAYSWATER,Holiday,143.41
BAYSWATER,short term,89.0
BAYSWATER,Medium term,75.0
BAYSWATER,Long Term,140.0
BELMONT,Holiday,160.07
BELMONT,short term,
BELMONT,Medium term,100.0
BELMONT,Long Term,75.0
CAMBRIDGE,Holiday,187.63
CAMBRIDGE,short term,70.0
CAMBRIDGE,Medium term,
CAMBRIDGE,Long Term,95.0
CANNING,Holiday,152.14
CANNING,short term,70.0
CANNING,Medium term,
CANNING,Long Term,
CLAREMONT,Holiday,198.22
CLAREMONT,short term,
CLAREMONT,Medium term,
CLAREMONT,Long Term,116.0
COCKBURN,Holiday,171.93
COCKBURN,short term,135.0
COCKBURN,Medium term,
COCKBURN,Long Term,
COTTESLOE,Holiday,313.16
COTTESLOE,short term,261.0
COTTESLOE,Medium term,150.0
COTTESLOE,Long Term,188.0
EAST FREMANTLE,Holiday,198.24
EAST FREMANTLE,short term,103.0
EAST FREMANTLE,Medium term,
EAST FREMANTLE,Long Term,
FREMANTLE,Holiday,198.53
FREMANTLE,short term,141.43
FREMANTLE,Medium term,180.0
FREMANTLE,Long Term,219.0
GOSNELLS,Holiday,131.1
GOSNELLS,short term,94.5
GOSNELLS,Medium term,
GOSNELLS,Long Term,
JOONDALUP,Holiday,240.27
JOONDALUP,short term,247.29
JOONDALUP,Medium term,130.0
JOONDALUP,Long Term,
KALAMUNDA,Holiday,250.76
KALAMUNDA,short term,
KALAMUNDA,Medium term,
KALAMUNDA,Long Term,
KWINANA,Holiday,145.38
KWINANA,short term,
KWINANA,Medium term,
KWINANA,Long Term,
MANDURAH,Holiday,276.76
MANDURAH,short term,233.0
MANDURAH,Medium term,
MANDURAH,Long Term,
MELVILLE,Holiday,261.46
MELVILLE,short term,326.5
MELVILLE,Medium term,250.0
MELVILLE,Long Term,141.0
MOSMAN PARK,Holiday,190.46
MOSMAN PARK,short term,
MOSMAN PARK,Medium term,175.0
MOSMAN PARK,Long Term,
MUNDARING,Holiday,134.17
MUNDARING,short term,
MUNDARING,Medium term,
MUNDARING,Long Term,
MURRAY,Holiday,210.0
MURRAY,short term,
MURRAY,Medium term,
MURRAY,Long Term,
NEDLANDS,Holiday,283.0
NEDLANDS,short term,142.5
NEDLANDS,Medium term,
NEDLANDS,Long Term,
PEPPERMINT GROVE,Holiday,2433.33
PEPPERMINT GROVE,short term,
PEPPERMINT GROVE,Medium term,
PEPPERMINT GROVE,Long Term,
PERTH,Holiday,169.41
PERTH,short term,171.12
PERTH,Medium term,133.0
PERTH,Long Term,187.4
ROCKINGHAM,Holiday,200.57
ROCKINGHAM,short term,
ROCKINGHAM,Medium term,93.67
ROCKINGHAM,Long Term,
SERPENTINE-JARRAHDALE,Holiday,221.81
SERPENTINE-JARRAHDALE,short term,
SERPENTINE-JARRAHDALE,Medium term,
SERPENTINE-JARRAHDALE,Long Term,
SOUTH PERTH,Holiday,489.69
SOUTH PERTH,short term,117.33
SOUTH PERTH,Medium term,93.0
SOUTH PERTH,Long Term,130.0
STIRLING,Holiday,230.72
STIRLING,short term,158.44
STIRLING,Medium term,350.0
STIRLING,Long Term,157.0
SUBIACO,Holiday,149.75
SUBIACO,short term,149.0
SUBIACO,Medium term,147.0
SUBIACO,Long Term,100.0
SWAN,Holiday,185.56
SWAN,short term,
SWAN,Medium term,
SWAN,Long Term,
VICTORIA PARK,Holiday,163.19
VICTORIA PARK,short term,
VICTORIA PARK,Medium term,
VICTORIA PARK,Long Term,
VINCENT,Holiday,148.85
VINCENT,short term,107.25
VINCENT,Medium term,
VINCENT,Long Term,74.67
WANNEROO,Holiday,159.0
WANNEROO,short term,
WANNEROO,Medium term,
WANNEROO,Long Term,47.0
